web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url
B0CJJKSXW1,"Ross Heating Bag, Hot Water Bags for Pain Relief, Heating Pad-Heat Pouch Hot Water Bottle Bag, Electric Hot Water Bag, Heating Pad for Pain Relief- with Hand Warmer Pockets (Assorted Colors)",199,4.7,22,https://www.amazon.in/ross-heating-bag-hot-water-bags-for-pain-relief-heating-pad-heat-pouch-hot-water-bottle-bag-electric-hot-water-bag-heating-pad-for-pain-relief-with-hand-warmer-pockets-assorted-colors/dp/B0CJJKSXW1
B0C23Z9W18,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,357,https://www.amazon.in/half-moon-aztec-37l-school-bag-class-5-12-college-bagpack-for-men-college-back-pack-for-women-15-6-inch-laptop-bag-for-men-backpack-for-men-spacious-multiple-pockets/dp/B0C23Z9W18
B0CKY4GLDB,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,469,4.3,17,https://www.amazon.in/half-moon-vision-water-resistant-15-6-inch-laptop-bag-for-men-backpack-for-men-office-bag-for-men-office-bag-for-women-with-padded-laptop-compartment/dp/B0CKY4GLDB
B09QCYXZ1H,"Lenovo 16-inch Value Lite Backpack, Comfortable, Padded Back Panel, Slim and Sleek, Dedicated Laptop Compartment, Padded Shoulder Straps for Optimal Comfort and Ergonomic Support (4X41C94115)",649,4.6,24,https://www.amazon.in/lenovo-16-inch-value-lite-backpack-comfortable-padded-back-panel-slim-and-sleek-dedicated-laptop-compartment-padded-shoulder-straps-for-optimal-comfort-and-ergonomic-support-4x41c94115/dp/B09QCYXZ1H
B0BX9GLFD6,Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),189,3.4,143,https://www.amazon.in/murano-louis-10ltr-casual-daybackpack-office-travel-bag-school-bag-college-bag-men-women-girl-boy-dark-grey/dp/B0BX9GLFD6
B08M66SG5Y,Newtone Premium OXO - Biodegradable Garbage Bags Size 17 X 19 Inches (Small) 120 Bags (4 rolls) Dustbin Bag/Trash Bag - Black Color,144,4.3,212,https://www.amazon.in/newtone-premium-oxo-biodegradable-garbage-bags-size-17-x-19-inches-small-120-bags-4-rolls-dustbin-bag-trash-bag-black-color/dp/B08M66SG5Y
B06VX8YR6Q,Ezee Black Medium Garbage Bags 90 Pcs | 19 X 21 Inch | 30 Pcs x Pack of 3 | Dustbin Trash Bag,155,4.2,28709,https://www.amazon.in/ezee-black-medium-garbage-bags-90-pcs-19-x-21-inch-30-pcs-x-pack-of-3-dustbin-trash-bag/dp/B06VX8YR6Q
B0BRJRVH6D,Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,765,3.8,273,https://www.amazon.in/martucci-jersey-45l-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-unisex-travel-backpack/dp/B0BRJRVH6D
B0BYB631NR,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",499,3.7,466,https://www.amazon.in/true-human-r-emperor-anti-theft-pocket-backpack-with-usb-charging-port-laptop-office-college-travel-bag-for-men-and-women-epower/dp/B0BYB631NR
B0BZW8KW18,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,429,3.5,146,https://www.amazon.in/lookmuster-15-6-inch-30-l-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-unisex-travel-backpack/dp/B0BZW8KW18
B0C8BGFJQZ,DaisyStar Women Fashion Handbags Tote Purses Stylish Ladies Women and Girls Handbag for Office Bag Ladies Travel Shoulder Bag Tote for College Girls Handbag_Variation_10,379,4.3,20,https://www.amazon.in/daisystar-women-fashion-handbags-tote-purses-stylish-ladies-women-and-girls-handbag-for-office-bag-ladies-travel-shoulder-bag-tote-for-college-girls-handbag-variation-10/dp/B0C8BGFJQZ
B09B26VHXV,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",699,3.8,3455,https://www.amazon.in/safari-flash-casual-backpack-26-ltr-water-resistant-travel-bags-weight-polyester-bagpack-for-men-and-women-spacious-shoulder-bag-for-college-office-travelling-and-camping/dp/B09B26VHXV
B075Y6Y9H5,Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.2,21727,https://www.amazon.in/lenovo-15-6-inch-casual-laptop-briefcase-t210/dp/B075Y6Y9H5
B08WQ668WJ,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,1046,https://www.amazon.in/zipline-unisex-casual-polyester-36-l-backpack-school-bag-women-men-boys-girls-children-daypack-college-bag-book-school-sports-bag/dp/B08WQ668WJ
B0CKY4GLDB,Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,469,4.3,17,https://www.amazon.in/half-moon-vision-water-resistant-15-6-inch-laptop-bag-for-men-backpack-for-men-office-bag-for-men-office-bag-for-women-with-padded-laptop-compartment/dp/B0CKY4GLDB
B07QN4KXWG,AirCase C34- 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women (Black)- 25 Ltrs,849,3.8,2273,https://www.amazon.in/aircase-c34-13-inch-14-inch-15-6-inch-premium-vegan-leather-laptop-backpack-for-men-women-black-25-ltrs/dp/B07QN4KXWG
B0BRJRVH6D,Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,765,3.8,273,https://www.amazon.in/martucci-jersey-45l-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-unisex-travel-backpack/dp/B0BRJRVH6D
B09413KB4K,Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing (Black),1186,4.2,556,https://www.amazon.in/handcuffs-baby-diaper-bag-multifunctional-maternity-bags-new-mom-dad-travel-backpack-for-baby-care-nursing-black/dp/B09413KB4K
B07RSCPH4N,"amazon basics Vacuum Compression Storage Bags with Hand Pump - Large, 5-Pack",599,4.4,11768,https://www.amazon.in/amazon-basics-vacuum-compression-storage-bags-with-hand-pump-large-5-pack/dp/B07RSCPH4N
B0BX9GLFD6,Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),189,3.4,143,https://www.amazon.in/murano-louis-10ltr-casual-daybackpack-office-travel-bag-school-bag-college-bag-men-women-girl-boy-dark-grey/dp/B0BX9GLFD6
B0BZW8KW18,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,429,3.5,146,https://www.amazon.in/lookmuster-15-6-inch-30-l-casual-waterproof-laptop-backpack-office-bag-school-bag-college-bag-business-bag-unisex-travel-backpack/dp/B0BZW8KW18
B09S14TTG6,"Half Moon 40L Waterproof Laptop Bag | Rucksack Bags for Men/Trekking Bags for Men | With Laptop Compartment & Rain cover | For Trekking, Hiking, Travel Backpack for Men & Women",689,3.8,148,https://www.amazon.in/half-moon-40l-waterproof-laptop-bag-rucksack-bags-for-men-trekking-bags-for-men-with-laptop-compartment-rain-cover-for-trekking-hiking-travel-backpack-for-men-women/dp/B09S14TTG6
B0B21YQX55,Skybags Unisex Gucci Fabric Backpacks,945,3.9,527,https://www.amazon.in/skybags-unisex-gucci-fabric-backpacks/dp/B0B21YQX55
